ID,TID,Title,Previous Credits,Corrected Credits
special:4:tmdb:872585,872585,Oppenheimer,Best Picture: 2023 - 2014,Christopher Nolan
special:4:tmdb:545611,545611,Everything Everywhere All at Once,Best Picture: 2023 - 2014,"Daniel Kwan, Daniel Scheinert"
special:4:tmdb:776503,776503,CODA,Best Picture: 2023 - 2014,Sian Heder
special:4:tmdb:581734,581734,Nomadland,Best Picture: 2023 - 2014,Chloé Zhao
special:4:tmdb:496243,496243,Parasite,Best Picture: 2023 - 2014,Bong Joon Ho
special:4:tmdb:490132,490132,Green Book,Best Picture: 2023 - 2014,Peter Farrelly
special:4:tmdb:399055,399055,The Shape of Water,Best Picture: 2023 - 2014,Guillermo del Toro
special:4:tmdb:376867,376867,Moonlight,Best Picture: 2023 - 2014,Barry Jenkins
special:4:tmdb:314365,314365,Spotlight,Best Picture: 2023 - 2014,Tom McCarthy
special:4:tmdb:194662,194662,Birdman,Best Picture: 2023 - 2014,Alejandro G. Iñárritu
special:8:tmdb:915935,915935,Anatomy of a Fall,Palme d'Or Winners: 2023 - 2014,Justine Triet
special:8:tmdb:497828,497828,Triangle of Sadness,Palme d'Or Winners: 2023 - 2014,Ruben Östlund
special:8:tmdb:630240,630240,Titane,Palme d'Or Winners: 2023 - 2014,Julia Ducournau
special:8:tmdb:496243,496243,Parasite,Palme d'Or Winners: 2023 - 2014,Bong Joon Ho
special:8:tmdb:505192,505192,Shoplifters,Palme d'Or Winners: 2023 - 2014,Hirokazu Kore-eda
special:8:tmdb:401246,401246,The Square,Palme d'Or Winners: 2023 - 2014,Ruben Östlund
special:8:tmdb:374473,374473,"I, Daniel Blake",Palme d'Or Winners: 2023 - 2014,Ken Loach
special:8:tmdb:314402,314402,Dheepan,Palme d'Or Winners: 2023 - 2014,Jacques Audiard
special:8:tmdb:265169,265169,Winter Sleep,Palme d'Or Winners: 2023 - 2014,Nuri Bilge Ceylan
special:12:tmdb:1088514,1088514,The Room Next Door,Golden Lion Winners: 2023 - 2014,Pedro Almodóvar
special:12:tmdb:1121956,1121956,Green Border,Golden Lion Winners: 2023 - 2014,Agnieszka Holland
special:12:tmdb:674324,674324,The Banshees of Inisherin,Golden Lion Winners: 2023 - 2014,Martin McDonagh
special:12:tmdb:600583,600583,The Power of the Dog,Golden Lion Winners: 2023 - 2014,Jane Campion
special:12:tmdb:581734,581734,Nomadland,Golden Lion Winners: 2023 - 2014,Chloé Zhao
special:12:tmdb:475557,475557,Joker,Golden Lion Winners: 2023 - 2014,Todd Phillips
special:12:tmdb:426426,426426,Roma,Golden Lion Winners: 2023 - 2014,Alfonso Cuarón
special:12:tmdb:399055,399055,The Shape of Water,Golden Lion Winners: 2023 - 2014,Guillermo del Toro
special:12:tmdb:408542,408542,The Woman Who Left,Golden Lion Winners: 2023 - 2014,Lav Diaz
special:12:tmdb:352162,352162,From Afar,Golden Lion Winners: 2023 - 2014,Lorenzo Vigas
special:12:tmdb:110390,110390,A Pigeon Sat on a Branch Reflecting on Existence,Golden Lion Winners: 2023 - 2014,Roy Andersson
special:16:tmdb:920767,920767,The Plough,Golden Bear Winners: 2023 - 2014,Philippe Garrel
special:16:tmdb:804251,804251,Alcarràs,Golden Bear Winners: 2023 - 2014,Carla Simón
